id,sport,gender,matchType,iit,status,matchNo,pool,team1,team2,date,time,courtNo
206,Squash,Women,Semi Final,IIT Madras,upcoming,26,SF 1,WINNER OF QF 1,WINNER OF QF 4,20/12/2025,10:00 AM,1
207,Squash,Women,Semi Final,IIT Madras,upcoming,27,SF 2,WINNER OF QF 2,WINNER OF QF 3,20/12/2025,10:00 AM,2
208,Squash,Women,3rd Place,IIT Madras,upcoming,28,3RD PLACE,LOSER OF SF 1,LOSER OF SF 2,21/12/2025,9:00 AM,1
209,Squash,Women,Finals,IIT Madras,upcoming,29,FINALS,WINNER OF SF 1,WINNER OF SF 2,21/12/2025,10:00 AM,2
210,Table Tennis,Men,League,IIT Madras,upcoming,1,A,IIT KANPUR,IIT BHUBANESWAR,15/12/2025,10:30 AM,1
211,Table Tennis,Men,League,IIT Madras,upcoming,2,B,IIT ROORKEE,IIT TIRUPATI,15/12/2025,10:30 AM,2
212,Table Tennis,Men,League,IIT Madras,upcoming,3,C,IIT GANDHINAGAR,IIT JODHPUR,15/12/2025,10:30 AM,3
213,Table Tennis,Men,League,IIT Madras,upcoming,4,D,IIT GUWAHATI,IIT GOA,15/12/2025,10:30 AM,4
214,Table Tennis,Men,League,IIT Madras,upcoming,5,E,IIT KHARAGPUR,IIT MANDI,15/12/2025,3:30 PM,1
215,Table Tennis,Men,League,IIT Madras,upcoming,6,F,IIT (BHU) VARANASI,IIT (ISM) DHANBAD,15/12/2025,3:30 PM,2
216,Table Tennis,Men,League,IIT Madras,upcoming,7,G,IIT DELHI,IIT BHILAI,15/12/2025,3:30 PM,3
217,Table Tennis,Men,League,IIT Madras,upcoming,8,A,IIT JAMMU,IIT BHUBANESWAR,16/12/2025,10:30 AM,1
218,Table Tennis,Men,League,IIT Madras,upcoming,9,B,IIT PATNA,IIT TIRUPATI,16/12/2025,10:30 AM,2
219,Table Tennis,Men,League,IIT Madras,upcoming,10,C,IIT DHARWAD,IIT JODHPUR,16/12/2025,10:30 AM,3
220,Table Tennis,Men,League,IIT Madras,upcoming,11,D,IIT HYDERABAD,IIT GOA,16/12/2025,10:30 AM,4
221,Table Tennis,Men,League,IIT Madras,upcoming,12,E,IIT BOMBAY,IIT MANDI,16/12/2025,3:30 PM,1
222,Table Tennis,Men,League,IIT Madras,upcoming,13,F,IIT PALAKKAD,IIT (ISM) DHANBAD,16/12/2025,3:30 PM,2
223,Table Tennis,Men,League,IIT Madras,upcoming,14,G,IIT INDORE,IIT BHILAI,16/12/2025,3:30 PM,3
224,Table Tennis,Men,League,IIT Madras,upcoming,15,A,IIT KANPUR,IIT JAMMU,17/12/2025,10:30 AM,1
225,Table Tennis,Men,League,IIT Madras,upcoming,16,B,IIT ROORKEE,IIT PATNA,17/12/2025,10:30 AM,2
226,Table Tennis,Men,League,IIT Madras,upcoming,17,C,IIT GANDHINAGAR,IIT DHARWAD,17/12/2025,10:30 AM,3
227,Table Tennis,Men,League,IIT Madras,upcoming,18,D,IIT GUWAHATI,IIT HYDERABAD,17/12/2025,10:30 AM,4
228,Table Tennis,Men,League,IIT Madras,upcoming,19,E,IIT KHARAGPUR,IIT BOMBAY,17/12/2025,3:30 PM,1
229,Table Tennis,Men,League,IIT Madras,upcoming,20,F,IIT (BHU) VARANASI,IIT PALAKKAD,17/12/2025,3:30 PM,2
230,Table Tennis,Men,League,IIT Madras,upcoming,21,G,IIT DELHI,IIT INDORE,17/12/2025,3:30 PM,3
231,Table Tennis,Men,League,IIT Madras,upcoming,22,H,IIT MADRAS,IIT ROPAR,17/12/2025,3:30 PM,4
232,Table Tennis,Men,Pre-Quarter Final,IIT Madras,upcoming,23,PQF 1,WINNER OF POOL A,RUNNER-UP OF POOL C,18/12/2025,10:30 AM,1
233,Table Tennis,Men,Pre-Quarter Final,IIT Madras,upcoming,24,PQF 2,WINNER OF POOL B,RUNNER-UP OF POOL D,18/12/2025,10:30 AM,2
234,Table Tennis,Men,Pre-Quarter Final,IIT Madras,upcoming,25,PQF 3,WINNER OF POOL C,RUNNER-UP OF POOL A,18/12/2025,10:30 AM,3
235,Table Tennis,Men,Pre-Quarter Final,IIT Madras,upcoming,26,PQF 4,WINNER OF POOL D,RUNNER-UP OF POOL B,18/12/2025,10:30 AM,4
236,Table Tennis,Men,Pre-Quarter Final,IIT Madras,upcoming,27,PQF 5,WINNER OF POOL E,RUNNER-UP OF POOL G,18/12/2025,3:30 PM,1
237,Table Tennis,Men,Pre-Quarter Final,IIT Madras,upcoming,28,PQF 6,WINNER OF POOL F,RUNNER-UP OF POOL H,18/12/2025,3:30 PM,2
238,Table Tennis,Men,Pre-Quarter Final,IIT Madras,upcoming,29,PQF 7,WINNER OF POOL G,RUNNER-UP OF POOL E,18/12/2025,3:30 PM,3
239,Table Tennis,Men,Pre-Quarter Final,IIT Madras,upcoming,30,PQF 8,WINNER OF POOL H,RUNNER-UP OF POOL F,18/12/2025,3:30 PM,4
240,Table Tennis,Men,Quarter Final,IIT Madras,upcoming,31,QF1,WINNER OF PQF 1,WINNER OF PQF 6,19/12/2025,10:30 AM,1
241,Table Tennis,Men,Quarter Final,IIT Madras,upcoming,32,QF 2,WINNER OF PQF 2,WINNER OF POF 5,19/12/2025,10:30 AM,2
242,Table Tennis,Men,Quarter Final,IIT Madras,upcoming,33,QF 3,WINNER OF PQF 3,WINNER OF PQF 8,19/12/2025,10:30 AM,3
243,Table Tennis,Men,Quarter Final,IIT Madras,upcoming,34,QF 4,WINNER OF PQF 4,WINNER OF PQF 7,19/12/2025,10:30 AM,4
244,Table Tennis,Men,Semi Final,IIT Madras,upcoming,35,SF 1,WINNER OF QF 1,WINNER OF QF 4,20/12/2025,11.00 AM,1
245,Table Tennis,Men,Semi Final,IIT Madras,upcoming,36,SF 2,WINNER OF QF 2,WINNER OF QF 3,20/12/2025,11.00 AM,2
246,Table Tennis,Men,3rd Place,IIT Madras,upcoming,37,3RD PLACE,LOSER OF SF 1,LOSER OF SF 2,21/12/2025,10:30 AM,2
247,Table Tennis,Men,Finals,IIT Madras,upcoming,38,FINALS,WINNER OF SF 1,WINNER OF SF 2,21/12/2025,10:30 AM,1
248,Table Tennis,Women,League,IIT Madras,upcoming,1,A,IIT MADRAS,IIT PATNA,15/12/2025,9.30 AM,1
249,Table Tennis,Women,League,IIT Madras,upcoming,2,B,IIT KANPUR,IIT BHUBANESWAR,15/12/2025,9.30 AM,2
250,Table Tennis,Women,League,IIT Madras,upcoming,3,C,IIT BOMBAY,IIT KHARAGPUR,15/12/2025,9.30 AM,3
251,Table Tennis,Women,League,IIT Madras,upcoming,4,D,IIT DELHI,IIT TIRUPATI,15/12/2025,9.30 AM,4
252,Table Tennis,Women,League,IIT Madras,upcoming,5,E,IIT MANDI,IIT (ISM) DHANBAD,15/12/2025,2.30 PM,1
253,Table Tennis,Women,League,IIT Madras,upcoming,6,F,IIT ROPAR,IIT ROORKEE,15/12/2025,2.30 PM,2
254,Table Tennis,Women,League,IIT Madras,upcoming,7,G,IIT INDORE,IIT (BHU) VARANASI,15/12/2025,2.30 PM,3
255,Table Tennis,Women,League,IIT Madras,upcoming,8,A,IIT GOA,IIT PATNA,16/12/2025,9.30 AM,1
256,Table Tennis,Women,League,IIT Madras,upcoming,9,B,IIT JAMMU,IIT BHUBANESWAR,16/12/2025,9.30 AM,2
257,Table Tennis,Women,League,IIT Madras,upcoming,10,C,IIT GUWAHATI,IIT KHARAGPUR,16/12/2025,9.30 AM,3
258,Table Tennis,Women,League,IIT Madras,upcoming,11,D,IIT DHARWAD,IIT TIRUPATI,16/12/2025,9.30 AM,4
259,Table Tennis,Women,League,IIT Madras,upcoming,12,E,IIT GANDHINAGAR,IIT (ISM) DHANBAD,16/12/2025,2.30 PM,1
260,Table Tennis,Women,League,IIT Madras,upcoming,13,F,IIT BHILAI,IIT ROORKEE,16/12/2025,2.30 PM,2
261,Table Tennis,Women,League,IIT Madras,upcoming,14,G,IIT HYDERABAD,IIT (BHU) VARANASI,16/12/2025,2.30 PM,3
262,Table Tennis,Women,League,IIT Madras,upcoming,15,A,IIT MADRAS,IIT GOA,17/12/2025,9.30 AM,1
263,Table Tennis,Women,League,IIT Madras,upcoming,16,B,IIT KANPUR,IIT JAMMU,17/12/2025,9.30 AM,2
264,Table Tennis,Women,League,IIT Madras,upcoming,17,C,IIT BOMBAY,IIT GUWAHATI,17/12/2025,9.30 AM,3
265,Table Tennis,Women,League,IIT Madras,upcoming,18,D,IIT DELHI,IIT DHARWAD,17/12/2025,9.30 AM,4
266,Table Tennis,Women,League,IIT Madras,upcoming,19,E,IIT MANDI,IIT GANDHINAGAR,17/12/2025,2.30 PM,1
267,Table Tennis,Women,League,IIT Madras,upcoming,20,F,IIT ROPAR,IIT BHILAI,17/12/2025,2.30 PM,2
268,Table Tennis,Women,League,IIT Madras,upcoming,21,G,IIT INDORE,IIT HYDERABAD,17/12/2025,2.30 PM,3
269,Table Tennis,Women,League,IIT Madras,upcoming,22,H,IIT JODHPUR,IIT PALAKKAD,17/12/2025,2.30 PM,4
270,Table Tennis,Women,Pre-Quarter Final,IIT Madras,upcoming,23,PQF 1,WINNER OF POOL A,RUNNER-UP OF POOL C,18/12/2025,9.30 AM,1
271,Table Tennis,Women,Pre-Quarter Final,IIT Madras,upcoming,24,PQF 2,WINNER OF POOL B,RUNNER-UP OF POOL D,18/12/2025,9.30 AM,2
272,Table Tennis,Women,Pre-Quarter Final,IIT Madras,upcoming,25,PQF 3,WINNER OF POOL C,RUNNER-UP OF POOL A,18/12/2025,9.30 AM,3
273,Table Tennis,Women,Pre-Quarter Final,IIT Madras,upcoming,26,PQF 4,WINNER OF POOL D,RUNNER-UP OF POOL B,18/12/2025,9.30 AM,4
274,Table Tennis,Women,Pre-Quarter Final,IIT Madras,upcoming,27,PQF 5,WINNER OF POOL E,RUNNER-UP OF POOL G,18/12/2025,2.30 PM,1
275,Table Tennis,Women,Pre-Quarter Final,IIT Madras,upcoming,28,PQF 6,WINNER OF POOL F,RUNNER-UP OF POOL H,18/12/2025,2.30 PM,2
276,Table Tennis,Women,Pre-Quarter Final,IIT Madras,upcoming,29,PQF 7,WINNER OF POOL G,RUNNER-UP OF POOL E,18/12/2025,2.30 PM,3
277,Table Tennis,Women,Pre-Quarter Final,IIT Madras,upcoming,30,PQF 8,WINNER OF POOL H,RUNNER-UP OF POOL F,18/12/2025,2.30 PM,4
278,Table Tennis,Women,Quarter Final,IIT Madras,upcoming,31,QF1,WINNER OF PQF 1,WINNER OF PQF 6,19/12/2025,9.30 AM,1
279,Table Tennis,Women,Quarter Final,IIT Madras,upcoming,32,QF 2,WINNER OF PQF 2,WINNER OF POF 5,19/12/2025,9.30 AM,2
280,Table Tennis,Women,Quarter Final,IIT Madras,upcoming,33,QF 3,WINNER OF PQF 3,WINNER OF PQF 8,19/12/2025,9.30 AM,3
281,Table Tennis,Women,Quarter Final,IIT Madras,upcoming,34,QF 4,WINNER OF PQF 4,WINNER OF PQF 7,19/12/2025,9.30 AM,4
282,Table Tennis,Women,Semi Final,IIT Madras,upcoming,35,SF 1,WINNER OF QF1,WINNER OF QF 4,20/12/2025,10.00 AM,1
283,Table Tennis,Women,Semi Final,IIT Madras,upcoming,36,SF 2,WINNER OF QF 2,WINNER OF QF 3,20/12/2025,10.00 AM,2
284,Table Tennis,Women,3rd Place,IIT Madras,upcoming,37,3RD PLACE,LOSER OF SF 1,LOSER OF SF 2,21/12/2025,9.00 AM,2
285,Table Tennis,Women,Finals,IIT Madras,upcoming,38,FINALS,WINNER OF SF 1,WINNER OF SF 2,21/12/2025,9.30 AM,1
286,Tennis,Men,League,IIT Tirupati,upcoming,1,A,IIT KANPUR,IIT GUWAHATI,14.12.2025,7:00 AM,1
287,Tennis,Men,League,IIT Tirupati,upcoming,2,A,IIT GANDHINAGAR,IIT JODHPUR,14.12.2025,7:00 AM,2
288,Tennis,Men,League,IIT Tirupati,upcoming,3,B,IIT MADRAS,IIT KHARAGPUR,14.12.2025,7:00 AM,3
289,Tennis,Men,League,IIT Tirupati,upcoming,4,B,IIT BOMBAY,IIT ROPAR,14.12.2025,7:00 AM,4
290,Tennis,Men,League,IIT Tirupati,upcoming,5,C,IIT DELHI,IIT BHU VARANASI,14.12.2025,11:00 AM,1
291,Tennis,Men,League,IIT Tirupati,upcoming,6,C,IIT ROORKEE,IIT HYDERABAD,14.12.2025,11:00 AM,2
292,Tennis,Men,League,IIT Tirupati,upcoming,7,D,IIT INDORE,IIT MANDI,14.12.2025,11:00 AM,3
293,Tennis,Men,League,IIT Tirupati,upcoming,8,D,IIT (ISM) DHANBAD,IIT TIRUPATI,14.12.2025,11:00 AM,4
294,Tennis,Men,League,IIT Tirupati,upcoming,9,A,IIT KANPUR,IIT JODHPUR,15.12.2025,8:00 AM,1
295,Tennis,Men,League,IIT Tirupati,upcoming,10,B,IIT MADRAS,IIT ROPAR,15.12.2025,8:00 AM,2
296,Tennis,Men,League,IIT Tirupati,upcoming,11,C,IIT DELHI,IIT HYDERABAD,15.12.2025,8:00 AM,3
297,Tennis,Men,League,IIT Tirupati,upcoming,12,C,IIT ROORKEE,IIT PATNA,15.12.2025,8:00 AM,4
298,Tennis,Men,League,IIT Tirupati,upcoming,13,D,IIT INDORE,IIT TIRUPATI,15.12.2025,4:00 PM,1
299,Tennis,Men,League,IIT Tirupati,upcoming,14,D,IIT (ISM) DHANBAD,IIT GOA,15.12.2025,4:00 PM,2
300,Tennis,Men,League,IIT Tirupati,upcoming,15,A,IIT GANDHINAGAR,IIT GUWAHATI,16.12.2025,8:00 AM,1
301,Tennis,Men,League,IIT Tirupati,upcoming,16,B,IIT BOMBAY,IIT KHARAGPUR,16.12.2025,8:00 AM,2
302,Tennis,Men,League,IIT Tirupati,upcoming,17,C,IIT ROORKEE,IIT BHU VARANASI,16.12.2025,8:00 AM,3
303,Tennis,Men,League,IIT Tirupati,upcoming,18,C,IIT HYDERABAD,IIT PATNA,16.12.2025,8:00 AM,4
304,Tennis,Men,League,IIT Tirupati,upcoming,19,D,IIT (ISM) DHANBAD,IIT MANDI,16.12.2025,4:00 PM,1
305,Tennis,Men,League,IIT Tirupati,upcoming,20,D,IIT TIRUPATI,IIT GOA,16.12.2025,4:00 PM,2
306,Tennis,Men,League,IIT Tirupati,upcoming,21,A,IIT GUWAHATI,IIT JODHPUR,17.12.2025,8:00 AM,1
307,Tennis,Men,League,IIT Tirupati,upcoming,22,B,IIT KHARAGPUR,IIT ROPAR,17.12.2025,8:00 AM,2
308,Tennis,Men,League,IIT Tirupati,upcoming,23,C,IIT DELHI,IIT PATNA,17.12.2025,8:00 AM,3
309,Tennis,Men,League,IIT Tirupati,upcoming,24,C,IIT BHU VARANASI,IIT HYDERABAD,17.12.2025,8:00 AM,4
310,Tennis,Men,League,IIT Tirupati,upcoming,25,D,IIT INDORE,IIT GOA,17.12.2025,4:00 PM,1
311,Tennis,Men,League,IIT Tirupati,upcoming,26,D,IIT MANDI,IIT TIRUPATI,17.12.2025,4:00 PM,2
312,Tennis,Men,League,IIT Tirupati,upcoming,27,A,IIT KANPUR,IIT GANDHINAGAR,18.12.2025,8:00 AM,1
313,Tennis,Men,League,IIT Tirupati,upcoming,28,B,IIT MADRAS,IIT BOMBAY,18.12.2025,8:00 AM,2
314,Tennis,Men,League,IIT Tirupati,upcoming,29,C,IIT DELHI,IIT ROORKEE,18.12.2025,8:00 AM,3
315,Tennis,Men,League,IIT Tirupati,upcoming,30,C,IIT BHU VARANASI,IIT PATNA,18.12.2025,8:00 AM,4
316,Tennis,Men,League,IIT Tirupati,upcoming,31,D,IIT INDORE,IIT (ISM) DHANBAD,18.12.2025,4:00 PM,1
317,Tennis,Men,League,IIT Tirupati,upcoming,32,D,IIT MANDI,IIT GOA,18.12.2025,4:00 PM,2
318,Tennis,Men,Quarter Final,IIT Tirupati,upcoming,33,QF1,WINNER OF POOL A,RUNNER UP OF POOL C,19.12.2025,9:00 AM,3
319,Tennis,Men,Quarter Final,IIT Tirupati,upcoming,34,QF2,WINNER OF POOL B,RUNNER UP OF POOL D,19.12.2025,9:00 AM,4
320,Tennis,Men,Quarter Final,IIT Tirupati,upcoming,35,QF3,RUNNER UP OF POOL A,WINNER OF POOL C,19.12.2025,3:00 PM,1
321,Tennis,Men,Quarter Final,IIT Tirupati,upcoming,36,QF4,RUNNER UP OF POOL B,WINNER OF POOL D,19.12.2025,3:00 PM,2
322,Tennis,Men,Semi Final,IIT Tirupati,upcoming,37,SF1,WINNER OF QF1,WINNER OF QF4,20.12.2025,2:00 PM,3
323,Tennis,Men,Semi Final,IIT Tirupati,upcoming,38,SF2,WINNER OF QF2,WINNER OF QF3,20.12.2025,2:00 PM,4
324,Tennis,Men,3rd Place,IIT Tirupati,upcoming,39,3rd PLACE,RUNNER OF SF 1,RUNNER OF SF 2,21.12.2025,8:00 AM,2
325,Tennis,Men,Final,IIT Tirupati,upcoming,40,FINAL,WINNER OF SF1,WINNER OF SF 2,21.12.2025,11:00 AM,1
326,Tennis,Women,League,IIT Tirupati,upcoming,1,A,IIT ROPAR,IIT (ISM) DHANBAD,15.12.2025,12:00 PM,1
327,Tennis,Women,League,IIT Tirupati,upcoming,2,A,IIT JODHPUR,IIT INDORE,15.12.2025,12:00 PM,2
328,Tennis,Women,League,IIT Tirupati,upcoming,3,B,IIT MADRAS,IIT MANDI,15.12.2025,12:00 PM,3
329,Tennis,Women,League,IIT Tirupati,upcoming,4,B,IIT DELHI,IIT GANDHINAGAR,15.12.2025,12:00 PM,4
330,Tennis,Women,League,IIT Tirupati,upcoming,5,C,IIT PATNA,IIT BOMBAY,15.12.2025,4:00 PM,3
331,Tennis,Women,League,IIT Tirupati,upcoming,6,C,IIT KHARAGPUR,IIT ROORKEE,15.12.2025,4:00 PM,4
332,Tennis,Women,League,IIT Tirupati,upcoming,7,D,IIT KANPUR,IIT HYDERABAD,15.12.2025,7:00 PM,1
333,Tennis,Women,League,IIT Tirupati,upcoming,8,D,IIT GUWAHATI,IIT BHU VARANASI,15.12.2025,7:00 PM,2
334,Tennis,Women,League,IIT Tirupati,upcoming,9,A,IIT ROPAR,IIT INDORE,16.12.2025,12:00 PM,1
335,Tennis,Women,League,IIT Tirupati,upcoming,10,A,IIT JODHPUR,IIT (ISM) DHANBAD,16.12.2025,12:00 PM,2
336,Tennis,Women,League,IIT Tirupati,upcoming,11,B,IIT MADRAS,IIT GANDHINAGAR,16.12.2025,12:00 PM,3
337,Tennis,Women,League,IIT Tirupati,upcoming,12,B,IIT DELHI,IIT MANDI,16.12.2025,12:00 PM,4
338,Tennis,Women,League,IIT Tirupati,upcoming,13,C,IIT PATNA,IIT ROORKEE,16.12.2025,4:00 PM,3
339,Tennis,Women,League,IIT Tirupati,upcoming,14,C,IIT KHARAGPUR,IIT BOMBAY,16.12.2025,4:00 PM,4
340,Tennis,Women,League,IIT Tirupati,upcoming,15,D,IIT KANPUR,IIT BHU VARANASI,16.12.2025,7:00 PM,1
341,Tennis,Women,League,IIT Tirupati,upcoming,16,D,IIT GUWAHATI,IIT HYDERABAD,16.12.2025,7:00 PM,2
342,Tennis,Women,League,IIT Tirupati,upcoming,17,A,IIT ROPAR,IIT JODHPUR,17.12.2025,12:00 PM,1
343,Tennis,Women,League,IIT Tirupati,upcoming,18,A,IIT (ISM) DHANBAD,IIT INDORE,17.12.2025,12:00 PM,2
344,Tennis,Women,League,IIT Tirupati,upcoming,19,B,IIT MADRAS,IIT DELHI,17.12.2025,12:00 PM,3
345,Tennis,Women,League,IIT Tirupati,upcoming,20,B,IIT MANDI,IIT GANDHINAGAR,17.12.2025,12:00 PM,4
346,Tennis,Women,League,IIT Tirupati,upcoming,21,C,IIT PATNA,IIT KHARAGPUR,17.12.2025,4:00 PM,3
347,Tennis,Women,League,IIT Tirupati,upcoming,22,C,IIT BOMBAY,IIT ROORKEE,17.12.2025,4:00 PM,4
348,Tennis,Women,League,IIT Tirupati,upcoming,23,D,IIT KANPUR,IIT GUWAHATI,17.12.2025,7:00 PM,1
349,Tennis,Women,League,IIT Tirupati,upcoming,24,D,IIT HYDERABAD,IIT BHU VARANASI,17.12.2025,7:00 PM,2
350,Tennis,Women,Quarter Final,IIT Tirupati,upcoming,25,QF1,WINNER OF POOL A,RUNNER UP OF POOL C,18.12.2025,12:00 PM,1
351,Tennis,Women,Quarter Final,IIT Tirupati,upcoming,26,QF2,WINNER OF POOL B,RUNNER UP OF POOL D,18.12.2025,12:00 PM,2
352,Tennis,Women,Quarter Final,IIT Tirupati,upcoming,27,QF3,RUNNER UP OF POOL A,WINNER OF POOL C,18.12.2025,4:00 PM,3
353,Tennis,Women,Quarter Final,IIT Tirupati,upcoming,28,QF4,RUNNER UP OF POOL B,WINNER OF POOL D,18.12.2025,4:00 PM,4
354,Tennis,Women,Semi Final,IIT Tirupati,upcoming,29,SF1,WINNER OF QF1,WINNER OF QF4,19.12.2025,9:00 AM,1
355,Tennis,Women,Semi Final,IIT Tirupati,upcoming,30,SF2,WINNER OF QF2,WINNER OF QF3,19.12.2025,9:00 AM,2
356,Tennis,Women,3rd Place,IIT Tirupati,upcoming,31,3rd Place,RUNNER OF SF 1,RUNNER OF SF 2,20.12.2025,9:00 AM,2
357,Tennis,Women,Final,IIT Tirupati,upcoming,32,FINAL,WINNER OF SF1,WINNER OF SF 2,20.12.2025,2:00 PM,1
359,Weightlifting,Men,Competition,IIT Tirupati,upcoming,,60 kg - B GROUP,Weighing Time: 08:00 AM,Reporting Time: 09:50 AM,15-12-2025,10:00 AM,
360,Weightlifting,Men,Competition,IIT Tirupati,upcoming,,60 kg - A GROUP,Weighing Time: 10:00 AM,Reporting Time: 11:50 AM,15-12-2025,12:00 PM,
361,Weightlifting,Men,Competition,IIT Tirupati,upcoming,,65 kg - B GROUP,Weighing Time: 07.00 AM,Reporting Time: 08:50 AM,15-12-2025,09:00 AM,
362,Weightlifting,Men,Competition,IIT Tirupati,upcoming,,65 kg - A GROUP,Weighing Time: 09:00 AM,Reporting Time: 10:50 AM,15-12-2025,11:00 AM,
363,Weightlifting,Men,Competition,IIT Tirupati,upcoming,,71 kg - B GROUP,Weighing Time: 11:00 AM,Reporting Time: 12:50 PM,16-12-2025,01:00 PM,
364,Weightlifting,Men,Competition,IIT Tirupati,upcoming,,71 kg - A GROUP,Weighing Time: 01:00 PM,Reporting Time: 02:50 PM,16-12-2025,03:00 PM,
365,Weightlifting,Men,Competition,IIT Tirupati,upcoming,,79 kg - B GROUP,Weighing Time: 07.00 AM,Reporting Time: 08:50 AM,16-12-2025,09:00 AM,
366,Weightlifting,Men,Competition,IIT Tirupati,upcoming,,79 kg - A GROUP,Weighing Time: 09:00 AM,Reporting Time: 10:50 AM,16-12-2025,11:00 AM,
367,Weightlifting,Men,Competition,IIT Tirupati,upcoming,,+79 kg - B GROUP,Weighing Time: 11:00 AM,Reporting Time: 12:50 PM,17-12-2025,01:00 PM,
368,Weightlifting,Men,Competition,IIT Tirupati,upcoming,,+79 kg - A GROUP,Weighing Time: 01:00 PM,Reporting Time: 02:50 PM,17-12-2025,03:00 PM,
369,Cricket,Men,League,IIT Hyderabad,upcoming,1,A,IIT VARANASI,IIT ROPAR,13.12.2025,8:30 AM,1
370,Cricket,Men,League,IIT Hyderabad,upcoming,2,B,IIT MADRAS,IIT BHILAI,13.12.2025,8:30 AM,2
371,Cricket,Men,League,IIT Hyderabad,upcoming,3,D,IIT DELHI,IIT JAMMU,13.12.2025,1:00 PM,1
372,Cricket,Men,League,IIT Hyderabad,upcoming,4,C,IIT GANDHINAGAR,IIT MANDI,13.12.2025,1:00 PM,2
